,Player,Year Drafted,Pick,Height,Wingspan,Vertical,Weight,Body Fat,Bench,Agility,Sprint
67,Derrick Favors,2010,3,82.25,88.0,35.5,245.0,6.5,14.0,11.74,3.25
68,Lazar Hayward,2010,30,77.75,84.75,36.0,226.0,7.5,15.0,10.87,3.31
69,Dexter Pittman,2010,32,83.5,90.0,,303.0,20.8,,,
70,Hassan Whiteside,2010,33,83.5,91.0,31.5,227.0,5.5,12.0,11.83,3.54
71,Armon Johnson,2010,34,75.25,80.0,38.5,195.0,5.6,18.0,11.25,3.19
72,Terrico White,2010,36,77.0,81.0,40.0,203.0,3.7,10.0,11.38,3.15
73,Darington Hobson,2010,37,78.5,81.25,34.0,204.0,6.2,,11.68,3.25
74,Andy Rautins,2010,38,77.0,79.0,30.5,192.0,6.2,8.0,11.27,3.49
75,Wesley Johnson,2010,4,79.25,85.0,37.0,206.0,4.6,16.0,11.43,3.14
76,Lance Stephenson,2010,40,77.75,82.5,33.0,227.0,9.3,10.0,11.39,3.38
77,Jarvis Varnado,2010,41,82.0,87.5,32.5,210.0,9.5,3.0,11.61,3.37
78,Devin Ebanks,2010,43,80.25,84.25,32.0,208.0,7.9,6.0,11.69,3.44
79,Jerome Jordan,2010,44,84.75,89.25,,244.0,6.9,,,
80,Tiny Gallon,2010,47,81.5,88.5,28.5,302.0,15.1,14.0,13.44,3.7
81,Ryan Richards,2010,49,83.75,85.5,28.5,230.0,8.0,4.0,11.33,3.37
82,DeMarcus Cousins,2010,5,82.75,89.75,27.5,292.0,16.4,,11.4,3.55
83,Solomon Alabi,2010,50,84.75,89.0,26.0,237.0,5.0,10.0,13.2,3.68
84,Willie Warren,2010,54,75.75,78.0,31.5,208.0,7.6,10.0,11.21,3.5
85,Derrick Caracter,2010,58,81.5,84.25,30.5,280.0,12.8,22.0,12.78,3.61
86,Stanley Robinson,2010,59,79.75,84.0,37.5,213.0,8.3,6.0,11.65,3.23
87,Ekpe Udoh,2010,6,81.75,88.5,33.5,237.0,8.0,10.0,11.15,3.29
88,Greg Monroe,2010,7,83.0,86.25,29.0,247.0,11.2,15.0,12.1,3.35
89,Al-Farouq Aminu,2010,8,80.5,87.25,33.5,216.0,8.2,13.0,11.29,3.3
90,Gordon Hayward,2010,9,80.0,79.75,34.5,211.0,6.9,10.0,11.73,3.22
91,Artsiom Parakhouski,2010,,83.75,85.0,26.5,268.0,6.0,16.0,12.07,3.33
92,Charles Garcia,2010,,81.25,85.75,30.5,232.0,7.0,2.0,11.65,3.23
93,Jon Scheyer,2010,,78.0,75.25,,180.0,5.4,,,
94,Manny Harris,2010,,77.5,79.25,,185.0,3.8,11.0,,
95,Mikhail Torrance,2010,,,78.75,32.0,207.0,,8.0,11.43,3.17
96,Sherron Collins,2010,,71.75,74.5,33.0,217.0,9.2,,12.31,3.24
97,Sylven Landesberg,2010,,78.25,81.0,32.0,210.0,11.6,8.0,11.59,3.36
98,Jimmer Fredette,2011,10,74.5,76.5,33.0,196.0,7.7,14.0,10.42,3.21
99,Klay Thompson,2011,11,79.25,81.0,31.5,206.0,8.0,5.0,10.99,3.24
100,Alec Burks,2011,12,78.0,82.0,36.0,193.0,5.1,5.0,10.96,3.17
101,Markieff Morris,2011,13,81.25,82.75,31.5,241.0,10.2,11.0,,3.4
102,Marcus Morris,2011,14,80.75,82.0,33.0,230.0,8.0,11.0,,3.15
103,Kawhi Leonard,2011,15,79.0,87.0,32.0,227.0,5.4,3.0,11.45,3.15
104,Nikola Vucevic,2011,16,83.75,88.5,25.0,260.0,6.1,8.0,12.02,3.27
105,Iman Shumpert,2011,17,77.5,81.5,42.0,222.0,6.5,18.0,11.1,3.18
106,Chris Singleton,2011,18,81.0,85.0,37.5,230.0,7.4,15.0,11.33,3.09
107,Tobias Harris,2011,19,79.75,83.0,37.5,223.0,8.4,12.0,10.96,3.17
108,Derrick Williams,2011,2,80.75,85.5,34.5,248.0,10.8,19.0,11.03,3.23
109,Nolan Smith,2011,21,75.5,77.5,34.0,188.0,5.6,9.0,11.05,3.17
110,Kenneth Faried,2011,22,79.5,84.0,35.0,225.0,6.3,16.0,11.35,3.26
111,Marshon Brooks,2011,25,77.25,85.0,38.5,195.0,5.2,5.0,10.74,3.09
112,Jordan Hamilton,2011,26,80.5,81.5,32.0,228.0,9.8,7.0,11.47,3.3
113,JaJuan Johnson (Purdue),2011,27,82.0,86.0,38.0,220.0,7.5,15.0,11.21,3.14
114,Norris Cole,2011,28,73.75,74.25,38.5,174.0,4.7,11.0,10.07,3.22
115,Cory Joseph,2011,29,75.25,77.5,35.0,186.0,9.7,5.0,10.75,3.27
116,Enes Kanter,2011,3,83.25,85.5,32.5,259.0,5.9,14.0,11.3,3.26
117,Jimmy Butler,2011,30,79.75,79.5,39.0,222.0,5.4,14.0,11.92,3.15
118,Justin Harper,2011,32,80.75,83.75,33.0,228.0,4.0,19.0,11.92,3.3
119,Kyle Singler,2011,33,80.5,82.1,30.0,228.0,10.0,10.0,11.22,3.21
120,Shelvin Mack,2011,34,74.5,79.5,39.0,209.0,7.1,17.0,11.23,3.18
121,Tyler Honeycutt,2011,35,80.25,81.0,37.0,187.0,5.3,,11.68,3.07
122,Jordan Williams,2011,36,81.0,84.25,30.5,247.0,12.1,10.0,12.74,3.45
123,Trey Thompkins,2011,37,81.75,85.0,30.5,239.0,15.5,15.0,11.72,3.41
124,Chandler Parsons,2011,38,81.75,81.5,31.5,221.0,7.0,4.0,11.05,3.29
125,Jeremy Tyler,2011,39,82.5,89.0,33.5,262.0,13.4,10.0,11.26,3.29
126,Tristan Thompson,2011,4,80.75,85.25,35.0,227.0,6.2,9.0,10.92,3.26
127,Jon Leuer,2011,40,83.5,84.0,36.5,223.0,5.4,17.0,10.82,3.36
128,Darius Morris,2011,41,77.25,79.5,32.0,190.0,5.3,12.0,11.0,3.2
129,Malcolm Lee,2011,43,77.5,81.75,35.5,198.0,5.9,17.0,11.2,3.09
130,Charles Jenkins,2011,44,75.25,79.5,34.0,216.0,4.3,16.0,11.68,3.18
131,Andrew Goudelock,2011,46,74.75,76.25,37.0,198.0,9.9,4.0,10.33,3.1
132,Travis Leslie,2011,47,76.25,82.5,40.5,205.0,8.1,10.0,11.0,3.13
133,Keith Benson,2011,48,83.0,87.75,36.0,217.0,6.1,12.0,11.88,3.35
134,Josh Selby,2011,49,75.0,77.25,42.0,195.0,7.9,5.0,11.13,3.2
135,Jon Diebler,2011,51,78.5,78.0,35.0,197.0,8.5,2.0,10.94,3.37
136,DeAndre Liggins,2011,53,78.25,83.0,31.0,202.0,5.0,6.0,,3.33
137,E'Twaun Moore,2011,55,76.0,81.5,34.5,191.0,7.6,,11.12,3.31
138,Isaiah Thomas,2011,60,70.25,73.75,40.0,186.0,6.7,13.0,10.49,3.14
139,Brandon Knight,2011,8,75.25,78.75,37.5,177.0,4.2,10.0,10.74,3.07
140,Kemba Walker,2011,9,73.0,75.5,39.5,184.0,5.9,7.0,10.87,3.16
141,David Lighty,2011,,78.5,80.0,33.0,216.0,6.5,15.0,10.81,3.25
142,Demetri McCamey,2011,,75.25,78.25,33.0,204.0,6.1,,11.55,3.19
143,Greg Smith,2011,,81.25,86.5,36.0,253.0,7.4,17.0,12.43,3.36
144,Jamie Skeen,2011,,80.0,85.25,30.5,242.0,9.8,10.0,12.43,3.46
145,Jereme Richmond,2011,,79.25,82.25,33.5,207.0,5.5,,11.74,3.02
146,LaceDarius Dunn,2011,,76.0,78.25,31.0,188.0,5.5,3.0,11.45,3.27
147,Malcolm Thomas,2011,,80.75,84.5,36.5,223.0,5.9,5.0,11.31,3.29
148,Michael Dunigan,2011,,82.0,87.25,34.5,238.0,8.0,10.0,11.85,3.27
149,Rick Jackson,2011,,81.25,86.0,33.0,242.0,8.3,9.0,11.51,3.26
150,Scotty Hopson,2011,,78.5,82.5,36.0,205.0,4.8,10.0,10.47,3.18
151,Anthony Davis,2012,1,82.5,89.5,,222.0,7.9,,,
152,Austin Rivers,2012,10,77.0,79.25,37.5,203.0,6.2,1.0,11.54,3.32
153,Meyers Leonard,2012,11,85.25,87.0,32.5,250.0,5.7,19.0,11.34,3.41
154,Jeremy Lamb,2012,12,77.25,83.0,38.0,179.0,4.5,5.0,10.98,3.25
155,Kendall Marshall,2012,13,76.25,77.5,37.0,198.0,7.8,,12.03,3.23
156,John Henson,2012,14,82.5,89.0,30.0,216.0,8.6,5.0,,
157,Moe Harkless,2012,15,80.75,84.0,37.0,207.0,5.3,5.0,10.87,3.25
158,Royce White,2012,16,80.0,84.0,,261.0,10.6,,,
159,Tyler Zeller,2012,17,84.5,84.0,34.0,247.0,6.4,16.0,11.13,3.4
160,Terrence Jones,2012,18,81.5,86.25,34.5,252.0,7.7,12.0,11.57,3.4
161,Andrew Nicholson,2012,19,81.5,88.0,30.5,234.0,7.6,10.0,11.89,3.67
162,Michael Kidd-Gilchrist,2012,2,79.5,84.0,35.5,233.0,7.0,6.0,11.77,3.18
163,Jared Sullinger,2012,21,81.0,85.25,31.0,268.0,10.7,9.0,12.77,3.81
164,Fab Melo,2012,22,84.0,86.5,31.0,255.0,9.2,9.0,12.14,3.44
165,John Jenkins,2012,23,76.25,80.5,36.5,212.0,7.1,10.0,11.36,3.37
166,Jared Cunningham,2012,24,77.0,78.5,,188.0,3.6,4.0,,
167,Tony Wroten,2012,25,78.0,81.0,35.5,203.0,5.2,,10.75,3.24
168,Miles Plumlee,2012,26,83.75,84.75,40.5,252.0,11.4,15.0,10.64,3.36
169,Arnett Moultrie,2012,27,82.75,86.25,37.5,233.0,7.7,10.0,11.32,3.22
170,Perry Jones,2012,28,83.25,85.75,38.5,234.0,4.6,11.0,11.31,3.19
171,Marquis Teague,2012,29,74.0,79.25,40.5,180.0,6.3,8.0,10.65,3.19
172,Bradley Beal,2012,3,76.75,80.0,39.0,202.0,6.0,8.0,10.95,3.28
173,Festus Ezeli,2012,30,83.5,89.75,33.5,264.0,5.5,18.0,12.35,3.29
174,Jeff Taylor,2012,31,79.25,78.25,40.0,213.0,4.2,15.0,10.87,3.29
175,Tomas Satoransky,2012,32,79.5,79.25,,201.0,5.2,,,
